|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|mean|MM|Men|0|0|0|0|3|8|18|30|45|62|85|99|62|40|
|upper|MM|Men|0|0|1|4|10|19|36|55|76|101|135|153|97|63|
|lower|MM|Women|0|0|0|0|0|0|0|2|5|13|22|26|19|13|
|real|MM|Women|0|0|0|0|3|6|9|15|25|31|69|62|43|47|
|mean|MM|Women|0|0|0|0|2|5|10|21|27|42|59|68|47|38|
|upper|MM|Women|0|0|0|1|7|13|23|40|48|72|96|110|75|62|
|lower|NHL|Men|0|0|0|0|2|8|16|32|44|63|93|116|78|53|
|real|NHL|Men|6|5|14|15|28|32|52|71|100|133|213|238|133|108|
|mean|NHL|Men|3|5|8|13|21|34|53|77|99|135|183|223|146|102|
|upper|NHL|Men|9|13|20|29|40|60|89|122|154|206|274|330|214|151|
|lower|NHL|Women|0|0|0|0|0|2|7|16|25|39|60|75|51|49|
|real|NHL|Women|3|6|4|11|11|23|38|37|67|86|126|167|127|99|
|mean|NHL|Women|1|3|6|8|12|22|35|51|68|93|129|153|108|103|
|upper|NHL|Women|5|11|16|20|25|43|62|86|111|147|198|232|164|157|
|lower|ovarian|Women|0|0|0|0|2|9|19|27|34|40|50|46|25|14|
|real|ovarian|Women|7|5|11|16|20|34|60|80|88|92|111|108|52|32|
|mean|ovarian|Women|3|5|7|12|20|36|54|70|78|90|105|96|53|37|
|upper|ovarian|Women|9|14|19|26|38|64|89|113|123|140|160|146|82|60|
|lower|pancreas|Men|0|0|0|0|0|0|2|13|26|47|70|76|40|21|
|real|pancreas|Men|1|0|3|0|3|12|25|42|66|112|140|185|88|49|
|mean|pancreas|Men|0|0|0|0|2|9|23|45|70|108|155|160|84|48|
|upper|pancreas|Men|0|0|1|3|9|21|44|78|113|169|239|245|129|74|
|lower|pancreas|Women|0|0|0|0|0|0|1|10|24|41|65|81|49|38|
|real|pancreas|Women|0|1|0|2|5|8|28|35|56|102|150|161|123|69|
|mean|pancreas|Women|0|0|0|0|2|8|21|39|65|99|141|165|102|82|
|upper|pancreas|Women|0|0|1|2|8|19|40|68|106|157|218|249|155|126|
|lower|stomach|Men|0|0|0|0|0|0|0|7|15|28|46|54|37|29|
|real|stomach|Men|1|1|14|8|11|13|19|27|44|51|88|123|80|50|
|mean|stomach|Men|0|0|1|2|6|10|18|33|46|68|97|112|75|58|
|upper|stomach|Men|0|1|5|7|16|23|36|59|78|108|149|170|113|87|
|lower|stomach|Women|0|0|0|0|0|0|0|0|4|9|18|24|19|19|
|real|stomach|Women|1|1|5|7|7|10|15|18|22|34|40|75|41|56|
|mean|stomach|Women|0|0|0|2|5|9|12|18|25|34|51|62|49|48|
|upper|stomach|Women|0|2|4|8|14|21|26|35|45|59|84|100|78|77|
|lower|thyroid|Men|0|0|0|0|0|0|0|0|1|1|3|3|0|0|
|real|thyroid|Men|2|9|14|21|17|19|31|42|25|24|54|27|15|7|
|mean|thyroid|Men|2|5|13|15|17|20|20|23|23|24|31|25|12|7|
|upper|thyroid|Men|7|15|30|34|37|41|41|47|45|47|59|47|24|15|
|lower|thyroid|Women|0|5|15|17|19|19|20|16|13|12|15|11|8|5|
|real|thyroid|Women|16|32|49|54|64|71|68|74|50|75|58|45|52|11|
|mean|thyroid|Women|15|32|57|58|61|65|62|55|44|43|51|41|26|22|
|upper|thyroid|Women|30|59|100|99|103|111|104|94|76|75|86|70|45|40|
|lower|UL|Men|0|0|0|0|0|0|0|1|5|11|20|25|19|15|
|real|UL|Men|0|3|1|1|2|5|12|19|31|36|52|75|25|28|
|mean|UL|Men|0|0|0|1|2|6|11|21|27|40|56|64|46|35|
|upper|UL|Men|1|2|3|5|8|15|23|41|49|70|92|102|72|54|
|lower|UL|Women|0|0|0|0|0|0|0|3|9|19|31|46|37|38|
|real|UL|Women|0|1|3|2|4|11|15|16|29|57|81|79|90|80|
|mean|UL|Women|0|0|0|1|4|7|15|25|35|53|77|101|79|82|
|upper|UL|Women|0|1|4|6|11|19|31|46|61|87|123|155|121|127|
|lower|prostata|Men|0|0|0|0|0|28|185|500|841|1145|1268|1042|486|240|
|real|prostata|Men|0|0|0|1|13|76|355|795|1311|1902|2099|2154|1005|488|
|mean|prostata|Men|0|0|0|0|8|76|357|902|1494|2008|2177|1804|847|418|
|upper|prostata|Men|0|0|0|1|19|124|530|1303|2146|2871|3087|2567|1207|595|
|lower|testicle|Men|4|20|24|20|13|6|0|0|0|0|0|0|0|0|
|real|testicle|Men|22|61|75|64|46|40|31|12|12|7|4|1|0|0|
|mean|testicle|Men|32|67|79|68|47|34|20|12|7|4|3|1|1|1|
|upper|testicle|Men|60|114|134|115|82|62|39|27|17|12|10|5|3|3|
